movieId,moviePoster
200,https://upload.wikimedia.org/wikipedia/en/4/49/NTR_Kathanayakudu.jpg
201,https://upload.wikimedia.org/wikipedia/en/5/58/Chirutha.jpg
202,https://upload.wikimedia.org/wikipedia/en/5/5b/Thaandavam_Promo_Poster.jpg
203,https://upload.wikimedia.org/wikipedia/en/f/f9/Athidhi_poster.jpg
204,https://upload.wikimedia.org/wikipedia/en/8/80/Kshana_Kshanam_poster.jpg
205,https://upload.wikimedia.org/wikipedia/en/f/fd/Penguin_film_poster.jpg
206,https://upload.wikimedia.org/wikipedia/en/d/db/Rudraveena_film_poster.jpg
207,https://upload.wikimedia.org/wikipedia/en/3/3f/Legend_%282014_film%29.jpg
208,https://upload.wikimedia.org/wikipedia/en/c/c9/Annamayya_%28film%29.jpg
209,https://upload.wikimedia.org/wikipedia/en/c/c2/Badrinath_poster.jpg
210,https://upload.wikimedia.org/wikipedia/en/c/c3/Nenulocal1.jpg
211,https://upload.wikimedia.org/wikipedia/en/6/66/Oh_Baby_2019_poster.jpg
212,https://upload.wikimedia.org/wikipedia/en/4/4d/Sketch_Release_Poster.jpg
213,https://upload.wikimedia.org/wikipedia/en/0/02/Hello_Guru_Prema_Kosame.jpg
214,https://upload.wikimedia.org/wikipedia/en/a/af/Rabhasa_poster.jpg
215,https://upload.wikimedia.org/wikipedia/en/2/26/Sainikudu.jpg
216,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Ishq_2012_Telugu.JPG/330px-Ishq_2012_Telugu.JPG
217,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Arjun_Poster.jpg/330px-Arjun_Poster.jpg
218,https://upload.wikimedia.org/wikipedia/en/3/30/Badri_Telugu.jpg
219,https://upload.wikimedia.org/wikipedia/en/6/6c/Krishnarjuna_poster.jpg
220,https://upload.wikimedia.org/wikipedia/en/3/3b/Hello_Telugu_film_poster.jpg
221,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Saleem-2009-film.jpg/330px-Saleem-2009-film.jpg
222,https://upload.wikimedia.org/wikipedia/en/b/ba/Nijam_2003.jpg
223,https://upload.wikimedia.org/wikipedia/en/8/8f/Bruce_Lee_The_Fighter.jpg
224,https://upload.wikimedia.org/wikipedia/en/0/0f/Middle_Class_Abbayi_poster.jpg
225,https://upload.wikimedia.org/wikipedia/en/d/d2/Ee_Nagaraniki_Emaindi.jpg
226,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Nenu_Sailaja.jpg/330px-Nenu_Sailaja.jpg
227,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Gentleman_%282016_film%29_poster.jpg/330px-Gentleman_%282016_film%29_poster.jpg
228,https://upload.wikimedia.org/wikipedia/en/0/0f/Student_No.1.jpg
229,https://upload.wikimedia.org/wikipedia/en/1/11/Kumari_21F_poster.jpg
230,https://upload.wikimedia.org/wikipedia/en/6/63/Billa_Telugu_Film_Poster.jpg
231,https://upload.wikimedia.org/wikipedia/en/e/e0/Love_Ke_Liye_Kuch_Bhi_Karega.jpg
232,https://upload.wikimedia.org/wikipedia/en/9/99/Run_Babby_Run.jpg
233,https://upload.wikimedia.org/wikipedia/en/b/b5/Chitralahari_film_poster.jpg
234,https://upload.wikimedia.org/wikipedia/en/0/0d/Shankar_Dada_MBBS_Poster.jpg
235,https://upload.wikimedia.org/wikipedia/en/4/42/Teen_Maar.jpg
236,https://upload.wikimedia.org/wikipedia/en/e/e2/Kanthaswamy_Poster.jpg
237,https://upload.wikimedia.org/wikipedia/en/1/1b/Puliposter.jpg
238,https://upload.wikimedia.org/wikipedia/en/5/50/Rebel_Movie_Poster_Prabhas.jpg
239,https://upload.wikimedia.org/wikipedia/en/2/29/Ismart_Shankar_poster.jpg
240,https://upload.wikimedia.org/wikipedia/en/d/db/Anukokunda_Oka_Roju.jpg
241,https://upload.wikimedia.org/wikipedia/en/f/f5/Bheeshma_poster.jpg
242,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Karthikeya_film_poster.jpg/330px-Karthikeya_film_poster.jpg
243,https://upload.wikimedia.org/wikipedia/en/4/4a/Desamuduru_Poster.jpg
244,https://upload.wikimedia.org/wikipedia/en/0/0e/Gunde_Jaari_Gallanthayyindhe_poster.jpg
245,https://upload.wikimedia.org/wikipedia/en/5/50/Pailwaan_poster.jpg
246,https://upload.wikimedia.org/wikipedia/en/7/71/World_Famous_Lover.jpg
247,https://upload.wikimedia.org/wikipedia/en/d/d8/Theeya_Velai_Seiyyanum_Kumaru_Poster.jpg
248,https://upload.wikimedia.org/wikipedia/en/1/13/Raja_the_Great.jpg
249,https://upload.wikimedia.org/wikipedia/en/5/5b/Kadaram_Kondan.jpg
250,https://upload.wikimedia.org/wikipedia/en/5/5c/Sammohanam_2018_film_poster.jpg
251,https://upload.wikimedia.org/wikipedia/en/f/f6/Simha_%28film%29.jpg
252,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Aithe2003.jpg/330px-Aithe2003.jpg
253,https://upload.wikimedia.org/wikipedia/en/3/33/Takkari_Donga.jpg
254,https://upload.wikimedia.org/wikipedia/en/f/f3/Kadhalil_Sodhappuvadhu_Yeppadi.jpg
255,https://upload.wikimedia.org/wikipedia/en/f/f6/Pammal_K._Sambandam.jpg
256,https://upload.wikimedia.org/wikipedia/en/0/06/Muni_3_kanchana_2.jpg
257,https://upload.wikimedia.org/wikipedia/en/2/22/Saroja-release.jpg
258,https://upload.wikimedia.org/wikipedia/en/5/53/Velsurya.jpg
259,https://upload.wikimedia.org/wikipedia/en/6/6e/Pandavulu_Pandavulu_Tummeda_poster.jpg
260,https://upload.wikimedia.org/wikipedia/en/c/cd/Doosukeltha_poster.jpg
261,https://upload.wikimedia.org/wikipedia/en/c/c1/Gundamma_Katha.jpg
262,https://upload.wikimedia.org/wikipedia/en/7/76/Oohalu_Gusagusalade_poster.jpg
263,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Rowdy_2014_poster.jpg/330px-Rowdy_2014_poster.jpg
264,https://upload.wikimedia.org/wikipedia/en/5/59/Devadas_%282018%29_poster.jpg
265,https://upload.wikimedia.org/wikipedia/en/5/5c/Soggade_Chinni_Nayana_poster.jpg
266,https://upload.wikimedia.org/wikipedia/en/b/b9/Denikaina_Ready_poster.jpg
267,https://upload.wikimedia.org/wikipedia/en/9/9e/Political_Rowdy.jpg
268,https://upload.wikimedia.org/wikipedia/en/e/ea/Anukshanam_Movie_First_Look_Poster.jpg
